"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 12:03:02 ICT 2024","Thu Feb 08 12:03:40 ICT 2024","37362","testcases","test_UserLogin","Test_UserLogin","","","test_verify_url","testing url"
"passed","Thu Feb 08 12:05:21 ICT 2024","Thu Feb 08 12:05:29 ICT 2024","7748","testcases","test_UserLogin","Test_UserLogin","","","test_verify_url",""
